,Clave de entidad federativa,Nombre de la entidad,Clave de municipio,Alcaldias,Clave de localidad,Nombre de la localidad,Latitud,Longitud,Poblacion total,Poblacion 15 a 17,Poblacion 18 a 24,Poblacion 15 a 17 que asiste a la escuela,Poblacion 18 a 24 que asiste a la escuela,Grado promedio de escolaridad,Total de viviendas,Total de viviendas habitadas,Precio por metro cuadrado
0,9,Distrito Federal,2,Azcapotzalco,1,Azcapotzalco,192858.0,991100.0,414711.0,18922.0,47181.0,15904.0,22237.0,10.8,132135.0,117264.0,17255
1,9,Distrito Federal,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,192228.0,991705.0,160491.0,8304.0,20523.0,6296.0,7534.0,10.42,47346.0,41708.0,13725
2,9,Distrito Federal,4,Cuajimalpa de Morelos,10,Cruz Blanca,191906.0,991924.0,581.0,49.0,87.0,37.0,20.0,7.69,165.0,137.0,13725
3,9,Distrito Federal,4,Cuajimalpa de Morelos,20,San Lorenzo Acopilco,191944.0,991932.0,23037.0,1316.0,3078.0,955.0,966.0,9.17,6024.0,5510.0,13725
4,9,Distrito Federal,4,Cuajimalpa de Morelos,50,La Venta,192005.0,991838.0,531.0,35.0,73.0,22.0,20.0,8.78,128.0,123.0,13725
5,9,Distrito Federal,4,Cuajimalpa de Morelos,54,Puerto las Cruces (Monte las Cruces),191745.0,992053.0,444.0,25.0,65.0,17.0,23.0,8.63,157.0,108.0,13725
6,9,Distrito Federal,4,Cuajimalpa de Morelos,55,Teopazulco,192047.0,991927.0,12.0,1.0,0.0,1.0,0.0,8.13,4.0,4.0,13725
7,9,Distrito Federal,4,Cuajimalpa de Morelos,57,Prolongación Constitución,192107.0,991936.0,18.0,2.0,2.0,2.0,0.0,7.0,4.0,3.0,13725
8,9,Distrito Federal,4,Cuajimalpa de Morelos,58,Paraje Río Borracho,192105.0,991942.0,51.0,3.0,7.0,3.0,2.0,7.82,14.0,11.0,13725
9,9,Distrito Federal,4,Cuajimalpa de Morelos,60,La Bolsa (El Encinal),192017.0,991807.0,17.0,1.0,2.0,1.0,1.0,11.5,8.0,5.0,13725
10,9,Distrito Federal,4,Cuajimalpa de Morelos,62,Rancho los Campesinos,191814.0,992039.0,22.0,0.0,5.0,0.0,2.0,8.89,13.0,7.0,13725
11,9,Distrito Federal,4,Cuajimalpa de Morelos,63,Santa Rosa,191923.0,991747.0,518.0,42.0,83.0,25.0,22.0,7.36,122.0,115.0,13725
12,9,Distrito Federal,4,Cuajimalpa de Morelos,64,Paraje Cerro de los Padres,192147.0,991900.0,11.0,,,,,,1.0,1.0,13725
13,9,Distrito Federal,4,Cuajimalpa de Morelos,65,El Boji (San Jacinto),192149.0,991907.0,51.0,3.0,4.0,1.0,0.0,7.68,14.0,14.0,13725
14,9,Distrito Federal,4,Cuajimalpa de Morelos,66,Rancho Santa Laura,192035.0,991914.0,61.0,7.0,8.0,6.0,4.0,12.0,17.0,16.0,13725
15,9,Distrito Federal,4,Cuajimalpa de Morelos,67,La Papa [Escuela Niños Héroes],192042.0,991846.0,3.0,,,,,,1.0,1.0,13725
16,9,Distrito Federal,4,Cuajimalpa de Morelos,69,La Troje,191937.0,991906.0,5.0,,,,,,3.0,1.0,13725
17,9,Distrito Federal,4,Cuajimalpa de Morelos,70,Punta Galicia,192227.0,991812.0,387.0,28.0,43.0,25.0,9.0,8.23,105.0,97.0,13725
18,9,Distrito Federal,4,Cuajimalpa de Morelos,71,Ninguno,191810.0,992021.0,11.0,,,,,,1.0,1.0,13725
19,9,Distrito Federal,4,Cuajimalpa de Morelos,73,Santiago Yacuitlalpan,192231.0,991818.0,75.0,2.0,16.0,2.0,2.0,6.95,21.0,21.0,13725
20,9,Distrito Federal,4,Cuajimalpa de Morelos,74,Punta Ahuatenco,192205.0,991820.0,65.0,5.0,8.0,3.0,1.0,6.2,21.0,14.0,13725
21,9,Distrito Federal,6,Iztacalco,1,Iztacalco,192343.0,990552.0,384326.0,18408.0,43855.0,14877.0,19161.0,10.5,114867.0,104406.0,16949
22,9,Distrito Federal,7,Iztapalapa,1,Iztapalapa,192130.0,990535.0,1815786.0,95933.0,229530.0,71349.0,80120.0,9.61,507483.0,460747.0,9960
23,9,Distrito Federal,8,La Magdalena Contreras,1,La Magdalena Contreras,192000.0,991250.0,238431.0,12194.0,29068.0,9118.0,11165.0,9.94,67331.0,63114.0,12678
24,9,Distrito Federal,8,La Magdalena Contreras,71,Paraje las Llantas,191512.0,991444.0,7.0,,,,,,2.0,2.0,12678
25,9,Distrito Federal,8,La Magdalena Contreras,75,Segundo Dinamo,191659.0,991626.0,21.0,0.0,0.0,0.0,0.0,7.13,6.0,6.0,12678
26,9,Distrito Federal,8,La Magdalena Contreras,83,El Gavillero,191713.0,991453.0,305.0,22.0,45.0,17.0,9.0,6.7,86.0,70.0,12678
27,9,Distrito Federal,8,La Magdalena Contreras,88,Totolapa,191651.0,991439.0,121.0,1.0,12.0,0.0,5.0,6.8,34.0,29.0,12678
28,9,Distrito Federal,8,La Magdalena Contreras,101,Paraje el Rancho,191733.0,991515.0,23.0,2.0,3.0,1.0,0.0,7.29,5.0,5.0,12678
29,9,Distrito Federal,8,La Magdalena Contreras,103,Paraje Aila,191521.0,991807.0,5.0,,,,,,1.0,1.0,12678
30,9,Distrito Federal,8,La Magdalena Contreras,104,Rancho Viejo,191530.0,991453.0,27.0,3.0,4.0,0.0,1.0,6.74,10.0,7.0,12678
31,9,Distrito Federal,8,La Magdalena Contreras,105,La Loma,191722.0,991527.0,14.0,0.0,0.0,0.0,0.0,9.78,3.0,3.0,12678
32,9,Distrito Federal,8,La Magdalena Contreras,108,Rincón Eslava,191720.0,991505.0,7.0,,,,,,2.0,2.0,12678
33,9,Distrito Federal,8,La Magdalena Contreras,110,Paraje Chepecano,191728.0,991503.0,21.0,1.0,2.0,0.0,0.0,8.0,6.0,6.0,12678
34,9,Distrito Federal,8,La Magdalena Contreras,111,Rancho Chichicaspa,191636.0,991444.0,1.0,,,,,,1.0,1.0,12678
35,9,Distrito Federal,8,La Magdalena Contreras,112,Paraje Chichicaspa,191637.0,991456.0,103.0,5.0,13.0,4.0,2.0,7.95,23.0,21.0,12678
36,9,Distrito Federal,9,Milpa Alta,1,Villa Milpa Alta,191132.0,990123.0,18274.0,1029.0,2338.0,743.0,870.0,9.25,4919.0,4452.0,980
37,9,Distrito Federal,9,Milpa Alta,11,San Antonio Tecómitl,191304.0,985917.0,24397.0,1522.0,3220.0,1138.0,1236.0,9.55,6488.0,5899.0,980
38,9,Distrito Federal,9,Milpa Alta,15,San Bartolomé Xicomulco,191219.0,990400.0,4340.0,264.0,502.0,216.0,176.0,9.55,1272.0,1119.0,980
39,9,Distrito Federal,9,Milpa Alta,17,San Francisco Tecoxpa,191130.0,990023.0,11456.0,716.0,1478.0,544.0,470.0,9.08,3076.0,2767.0,980
40,9,Distrito Federal,9,Milpa Alta,24,San Pablo Oztotepec,191109.0,990421.0,15507.0,938.0,2055.0,695.0,660.0,9.33,4270.0,3742.0,980
41,9,Distrito Federal,9,Milpa Alta,29,San Pedro Atocpan,191202.0,990257.0,8283.0,492.0,1166.0,374.0,378.0,8.94,2263.0,2026.0,980
42,9,Distrito Federal,9,Milpa Alta,33,San Salvador Cuauhtenco,191127.0,990515.0,13856.0,845.0,1777.0,638.0,523.0,9.06,3757.0,3329.0,980
43,9,Distrito Federal,9,Milpa Alta,36,Santa Ana Tlacotenco,191026.0,985946.0,10593.0,606.0,1338.0,450.0,514.0,8.99,3009.0,2647.0,980
44,9,Distrito Federal,9,Milpa Alta,37,Cruztitla,191256.0,990014.0,496.0,30.0,73.0,19.0,20.0,8.5,146.0,124.0,980
45,9,Distrito Federal,9,Milpa Alta,39,Atlimeya,190959.0,990421.0,30.0,0.0,2.0,0.0,0.0,5.83,11.0,5.0,980
46,9,Distrito Federal,9,Milpa Alta,41,Atoctienco,191247.0,990242.0,108.0,5.0,18.0,3.0,6.0,8.55,40.0,30.0,980
47,9,Distrito Federal,9,Milpa Alta,45,Totolan,191100.0,990206.0,6.0,,,,,,2.0,2.0,980
48,9,Distrito Federal,9,Milpa Alta,46,Xoctonco,191102.0,990515.0,329.0,27.0,47.0,20.0,11.0,8.1,86.0,77.0,980
49,9,Distrito Federal,9,Milpa Alta,50,Cozcatlán,191050.0,990101.0,2.0,,,,,,2.0,1.0,980
50,9,Distrito Federal,9,Milpa Alta,52,La Herradura (Séptima Curva),191103.0,990257.0,96.0,5.0,16.0,2.0,4.0,7.54,32.0,27.0,980
51,9,Distrito Federal,9,Milpa Alta,54,Zangahco,191021.0,990358.0,31.0,2.0,2.0,2.0,0.0,6.28,10.0,7.0,980
52,9,Distrito Federal,9,Milpa Alta,56,Hueycotzingo,191126.0,990310.0,99.0,6.0,9.0,5.0,2.0,7.59,25.0,25.0,980
53,9,Distrito Federal,9,Milpa Alta,66,Cuauhtec (El Mirador Santa Ana Tlacotenco),190938.0,985923.0,17.0,1.0,2.0,1.0,2.0,10.8,3.0,3.0,980
54,9,Distrito Federal,9,Milpa Alta,67,La Mora,191122.0,990211.0,12.0,3.0,1.0,3.0,0.0,8.29,3.0,3.0,980
55,9,Distrito Federal,9,Milpa Alta,68,Metenco,191213.0,990449.0,226.0,15.0,27.0,14.0,7.0,8.84,66.0,57.0,980
56,9,Distrito Federal,9,Milpa Alta,72,Tamasquiti,191022.0,990125.0,11.0,0.0,0.0,0.0,0.0,6.13,4.0,3.0,980
57,9,Distrito Federal,9,Milpa Alta,74,San Agustín el Alto,191038.0,990030.0,14.0,1.0,3.0,0.0,1.0,5.2,5.0,3.0,980
58,9,Distrito Federal,9,Milpa Alta,77,San Marcos,191007.0,990131.0,130.0,6.0,24.0,2.0,5.0,7.76,33.0,26.0,980
59,9,Distrito Federal,9,Milpa Alta,79,Atlatlauco,191040.0,990352.0,90.0,8.0,9.0,4.0,1.0,7.18,22.0,18.0,980
60,9,Distrito Federal,9,Milpa Alta,81,Cuyucalco,191058.0,990336.0,87.0,2.0,11.0,2.0,3.0,9.72,34.0,23.0,980
61,9,Distrito Federal,9,Milpa Alta,82,Iztauhagca,191104.0,990332.0,65.0,2.0,8.0,2.0,4.0,9.1,20.0,17.0,980
62,9,Distrito Federal,9,Milpa Alta,83,Tzotzomaco,191152.0,990220.0,13.0,0.0,0.0,0.0,0.0,10.25,3.0,3.0,980
63,9,Distrito Federal,9,Milpa Alta,84,Tlatepexco,191141.0,990438.0,117.0,9.0,21.0,7.0,6.0,7.65,45.0,34.0,980
64,9,Distrito Federal,9,Milpa Alta,88,San Paocotitla,191109.0,990301.0,88.0,6.0,11.0,4.0,0.0,7.4,22.0,21.0,980
65,9,Distrito Federal,9,Milpa Alta,90,Tlacopac,191020.0,990226.0,51.0,4.0,7.0,2.0,2.0,8.22,14.0,11.0,980
66,9,Distrito Federal,9,Milpa Alta,92,Tecolotzitzatzian (Piltongo),190946.0,990237.0,7.0,,,,,,2.0,1.0,980
67,9,Distrito Federal,9,Milpa Alta,95,Mecatzintla,191107.0,990029.0,15.0,1.0,1.0,1.0,1.0,9.92,5.0,4.0,980
68,9,Distrito Federal,9,Milpa Alta,96,Tequianquiztunco,190955.0,990418.0,9.0,,,,,,3.0,2.0,980
69,9,Distrito Federal,9,Milpa Alta,98,Tetexipezco,191207.0,990211.0,39.0,1.0,1.0,0.0,1.0,7.2,9.0,9.0,980
70,9,Distrito Federal,9,Milpa Alta,99,Tetlicuili (El Encinal),190928.0,985906.0,67.0,3.0,9.0,2.0,2.0,8.36,26.0,18.0,980
71,9,Distrito Federal,9,Milpa Alta,100,Teuhtli,191310.0,990150.0,11.0,,,,,,4.0,2.0,980
72,9,Distrito Federal,9,Milpa Alta,101,Texcalahuitiel,191202.0,990335.0,28.0,2.0,3.0,2.0,0.0,8.59,6.0,6.0,980
73,9,Distrito Federal,9,Milpa Alta,103,Tezompa,191117.0,990309.0,99.0,10.0,18.0,4.0,3.0,7.59,38.0,23.0,980
74,9,Distrito Federal,9,Milpa Alta,104,Colonia Teziuhtepec,191019.0,990415.0,89.0,4.0,19.0,3.0,1.0,8.09,24.0,22.0,980
75,9,Distrito Federal,9,Milpa Alta,105,Tetzumpa,191002.0,990414.0,14.0,,,,,,4.0,2.0,980
76,9,Distrito Federal,9,Milpa Alta,109,Tlaxala,191208.0,990216.0,46.0,3.0,6.0,2.0,4.0,9.42,11.0,11.0,980
77,9,Distrito Federal,9,Milpa Alta,110,Cuescomatepec,191016.0,990245.0,3.0,,,,,,2.0,1.0,980
78,9,Distrito Federal,9,Milpa Alta,112,Tetepanco,191221.0,990317.0,94.0,8.0,9.0,6.0,2.0,7.73,27.0,22.0,980
79,9,Distrito Federal,9,Milpa Alta,113,Cerrada Francisco I. Madero,191248.0,990338.0,51.0,3.0,9.0,3.0,4.0,9.06,19.0,12.0,980
80,9,Distrito Federal,9,Milpa Alta,115,San José,191230.0,990336.0,137.0,10.0,15.0,9.0,5.0,7.08,48.0,36.0,980
81,9,Distrito Federal,9,Milpa Alta,116,Hueytepetl,191121.0,985922.0,202.0,6.0,23.0,4.0,0.0,7.48,62.0,52.0,980
82,9,Distrito Federal,9,Milpa Alta,117,Coximalipa,191025.0,990409.0,91.0,7.0,11.0,6.0,3.0,9.0,31.0,23.0,980
83,9,Distrito Federal,9,Milpa Alta,120,Texacatipac,191032.0,990435.0,153.0,8.0,22.0,7.0,6.0,8.48,47.0,41.0,980
84,9,Distrito Federal,9,Milpa Alta,123,La Mora III,191120.0,990205.0,31.0,2.0,7.0,0.0,2.0,8.67,8.0,8.0,980
85,9,Distrito Federal,9,Milpa Alta,124,La Mora IV,191127.0,990155.0,13.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,980
86,9,Distrito Federal,9,Milpa Alta,125,La Mora V,191129.0,990202.0,23.0,0.0,1.0,0.0,1.0,6.88,6.0,6.0,980
87,9,Distrito Federal,9,Milpa Alta,126,Coyocalli,191150.0,990212.0,16.0,1.0,1.0,1.0,0.0,8.36,5.0,4.0,980
88,9,Distrito Federal,9,Milpa Alta,129,Tlapalan,191051.0,990038.0,37.0,1.0,3.0,0.0,1.0,9.64,11.0,11.0,980
89,9,Distrito Federal,9,Milpa Alta,130,Retamatitla,191034.0,990115.0,2.0,,,,,,1.0,1.0,980
90,9,Distrito Federal,9,Milpa Alta,131,Texalco,191134.0,990209.0,84.0,4.0,10.0,2.0,3.0,7.82,18.0,17.0,980
91,9,Distrito Federal,9,Milpa Alta,134,Quepilco,191123.0,990603.0,56.0,6.0,6.0,3.0,1.0,8.43,20.0,12.0,980
92,9,Distrito Federal,9,Milpa Alta,135,Texococlixpa (Rancho Santa Elena),191058.0,990600.0,6.0,,,,,,3.0,2.0,980
93,9,Distrito Federal,9,Milpa Alta,138,Barranca Seca (Pozo Ocho),191223.0,985951.0,200.0,22.0,20.0,9.0,4.0,6.87,53.0,46.0,980
94,9,Distrito Federal,9,Milpa Alta,139,Teatlaco,191121.0,985930.0,31.0,2.0,3.0,1.0,0.0,5.67,9.0,9.0,980
95,9,Distrito Federal,9,Milpa Alta,140,Tlaloxtoc (Ejidos de Tecoxpa),191149.0,985852.0,38.0,3.0,5.0,1.0,2.0,7.56,11.0,10.0,980
